省份/地区,城市,昨日新增,累计确诊,累计治愈,累计死亡,现存确诊,无症状感染者
黑龙江,伊春,0,1,1,0,0,0
黑龙江,境外输入,0,419,409,0,10,0
黑龙江,待确认,0,2,2,0,0,0
海南,陵水黎族自治县,,4,4,0,0,0
海南,琼中黎族苗族自治县,,1,1,0,0,0
海南,琼海,,6,5,1,0,0
海南,儋州,,15,14,1,0,0
海南,万宁,,13,13,0,0,0
海南,东方,,3,2,1,0,0
海南,临高,,6,6,0,0,0
海南,海口,,41,41,0,0,0
海南,澄迈,,9,8,1,0,0
海南,三亚,,58,54,1,3,0
海南,昌江黎族自治县,,7,7,0,0,0
海南,定安,,3,2,1,0,0
海南,乐东黎族自治县,,2,2,0,0,0
海南,文昌,,3,3,0,0,0
海南,保亭黎族苗族自治县,,3,3,0,0,0
海南,屯昌,,0,0,0,0,0
海南,三沙,,0,0,0,0,0
海南,境外输入,,19,19,0,0,0
河北,张家口,0,43,43,0,0,0
河北,保定,1,47,38,0,9,0
河北,邢台,3,133,95,1,37,0
河北,沧州,7,58,46,3,9,0
河北,石家庄,0,975,962,1,12,0
河北,承德,0,7,7,0,0,0
河北,廊坊,5,46,39,0,7,0
河北,邯郸,0,34,32,0,2,0
河北,衡水,0,13,13,0,0,0
河北,唐山,0,58,57,1,0,0
河北,秦皇岛,0,10,9,1,0,0
河北,境外输入,0,37,37,0,0,0
河北,定州,0,2,2,0,0,0
河北,雄安新区,0,18,18,0,0,0
河北,辛集市,0,71,71,0,0,0
陕西,榆林,0,3,3,0,0,0
陕西,西安,8,2226,2185,3,38,0
陕西,咸阳,0,31,31,0,0,0
陕西,商洛,0,7,7,0,0,0
陕西,安康,0,26,26,0,0,0
陕西,延安,0,21,21,0,0,0
陕西,韩城,0,1,1,0,0,0
陕西,汉中,2,30,26,0,4,0
陕西,宝鸡,8,34,13,0,21,0
陕西,渭南,0,18,18,0,0,0
陕西,铜川,0,8,8,0,0,0
陕西,杨凌示范区,0,1,1,0,0,0
陕西,境外输入,0,483,483,0,0,0
云南,丽江,0,7,7,0,0,0
云南,红河州,0,26,9,0,17,0
云南,大理州,0,13,13,0,0,0
云南,保山,0,11,9,0,2,0
云南,昭通,0,25,25,0,0,0
云南,德宏州,4,332,294,0,38,0
云南,曲靖,0,13,13,0,0,0
云南,西双版纳傣族自治州,0,20,14,1,5,0
云南,玉溪,0,14,13,1,0,0
云南,普洱,0,4,4,0,0,0
云南,昆明,1,63,58,0,5,0
云南,临沧,0,12,1,0,11,0
云南,楚雄州,0,4,4,0,0,0
云南,文山,0,5,2,0,3,0
云南,怒江州,0,0,0,0,0,0
云南,境外输入,0,1449,1417,0,32,0
云南,待确认,0,,14,,0,0
广西,桂林,0,32,32,0,0,0
广西,河池,0,28,27,1,0,0
广西,南宁,0,57,56,0,1,0
广西,防城港,0,90,41,0,49,0
广西,贺州,0,4,4,0,0,0
广西,柳州,0,24,24,0,0,0
广西,玉林,0,11,11,0,0,0
广西,北海,0,44,43,1,0,0
广西,钦州,0,8,8,0,0,0
广西,梧州,0,5,5,0,0,0
广西,百色,0,279,249,0,30,0
广西,贵港,0,8,8,0,0,0
广西,来宾,0,11,11,0,0,0
广西,境外输入,0,643,435,0,208,0
广西,崇左,0,2,1,0,1,0
福建,厦门,0,277,277,0,0,0
福建,南平,0,20,20,0,0,0
福建,莆田,0,261,261,0,0,0
福建,泉州,0,71,71,0,0,0
福建,漳州,0,23,23,0,0,0
福建,三明,0,14,14,0,0,0
福建,宁德,0,26,26,0,0,0
福建,龙岩,0,6,6,0,0,0
福建,福州,0,72,71,1,0,0
福建,境外输入,0,821,732,0,89,0
上海,嘉定区,1,13,7,2,4,0
上海,外地来沪人员,0,113,112,1,0,0
上海,松江区,0,18,16,0,2,0
上海,黄浦区,0,22,22,0,0,0
上海,长宁区,0,14,14,0,0,0
上海,青浦区,0,7,7,0,0,0
上海,闵行区,2,22,19,0,3,0
上海,静安区,0,22,18,1,3,0
上海,虹口区,2,9,7,0,2,0
上海,宝山区,0,26,25,1,0,0
上海,浦东新区,4,87,81,1,5,0
上海,杨浦区,0,9,9,0,0,0
上海,徐汇区,2,29,17,1,11,0
上海,奉贤区,0,11,11,0,0,0
上海,金山区,0,4,4,0,0,0
上海,普陀区,0,15,11,0,4,0
上海,崇明区,0,4,4,0,0,0
上海,境外输入,0,4294,3682,0,612,0
上海,境外来沪人员,0,1,1,0,0,0
北京,东城区,0,19,6,,0,0
北京,海淀区,2,104,26,,14,0
北京,大兴区,1,144,111,,10,0
北京,朝阳区,2,108,9,,23,0
北京,丰台区,0,349,286,,23,0
北京,门头沟区,0,5,4,,0,0
北京,通州区,0,24,3,,3,0
北京,顺义区,0,46,45,,1,0
北京,石景山区,0,15,12,,0,0
北京,西城区,0,66,6,,7,0
北京,怀柔区,0,8,4,,0,0
北京,昌平区,0,70,50,,1,0
北京,外地来京人员,0,25,2,,0,0
北京,房山区,0,31,12,,6,0
北京,延庆区,0,1,0,,0,0
北京,密云区,0,7,0,,0,0
北京,待确认,0,2,430,9,0,0
北京,境外输入,0,572,408,,164,0
北京,涉冬（残）奥闭环人员,0,4,0,,4,0
北京,经济开发区,0,3,0,,3,0
江苏,徐州,0,80,79,0,1,0
江苏,扬州,0,593,593,0,0,0
江苏,宿迁,0,16,16,0,0,0
江苏,镇江,0,12,12,0,0,0
江苏,连云港,34,125,48,0,77,0
江苏,无锡,0,58,55,0,3,0
江苏,泰州,0,37,37,0,0,0
江苏,盐城,0,27,27,0,0,0
江苏,淮安,0,78,78,0,0,0
江苏,南通,0,41,40,0,1,0
江苏,南京,2,333,331,0,2,0
江苏,常州,0,54,54,0,0,0
江苏,苏州,0,205,170,0,35,0
江苏,境外输入,0,207,180,0,27,0
江苏,待确认,0,,12,,0,0
四川,遂宁,0,17,17,0,0,0
四川,达州,0,42,42,0,0,0
四川,内江,0,22,22,0,0,0
四川,广安,0,30,30,0,0,0
四川,宜宾,0,13,13,0,0,0
四川,凉山州,0,13,13,0,0,0
四川,乐山,0,3,3,0,0,0
四川,眉山,0,9,8,0,1,0
四川,德阳,0,18,18,0,0,0
四川,巴中,0,24,24,0,0,0
四川,成都,0,227,188,3,36,0
四川,南充,0,39,39,0,0,0
四川,泸州,0,25,25,0,0,0
四川,绵阳,0,23,23,0,0,0
四川,甘孜州,0,78,78,0,0,0
四川,广元,0,6,6,0,0,0
四川,资阳,0,4,4,0,0,0
四川,自贡,0,10,10,0,0,0
四川,雅安,0,8,8,0,0,0
四川,攀枝花,0,16,16,0,0,0
四川,阿坝州,0,1,1,0,0,0
四川,境外输入,0,917,790,0,127,0
四川,待确认,0,,16,,0,0
山东,威海,8,56,37,1,18,0
山东,泰安,0,35,33,2,0,0
山东,济南,0,49,49,0,0,0
山东,枣庄,0,24,24,0,0,0
山东,济宁,0,260,260,0,0,0
山东,临沂,0,49,49,0,0,0
山东,青岛,103,468,79,1,388,0
山东,日照,0,32,30,0,2,0
山东,菏泽,0,18,18,0,0,0
山东,聊城,0,38,38,0,0,0
山东,滨州,0,15,15,0,0,0
山东,潍坊,0,44,44,0,0,0
山东,德州,6,43,35,2,6,0
山东,烟台,3,62,58,0,4,0
山东,淄博,1,34,29,1,4,0
山东,境外输入,0,358,305,0,53,0
江西,吉安,,22,22,0,0,0
江西,上饶,,144,144,0,0,0
江西,九江,,117,117,0,0,0
江西,新余,,129,129,0,0,0
江西,抚州,,72,72,0,0,0
江西,鹰潭,,18,18,0,0,0
江西,宜春,,106,106,0,0,0
江西,景德镇,,6,6,0,0,0
江西,萍乡,,33,33,0,0,0
江西,赣州,,74,73,1,0,0
江西,南昌,,231,231,0,0,0
江西,赣江新区,,1,1,0,0,0
江西,境外输入,,6,6,0,0,0
重庆,奉节县,0,22,22,0,0,0
重庆,武隆区,0,1,1,0,0,0
重庆,永川区,0,5,5,0,0,0
重庆,两江新区,0,18,18,0,0,0
重庆,渝北区,0,17,17,0,0,0
重庆,开州区,0,21,20,1,0,0
重庆,丰都县,0,10,10,0,0,0
重庆,巫山县,0,10,10,0,0,0
重庆,大足区,0,14,14,0,0,0
重庆,忠县,0,21,21,0,0,0
重庆,云阳县,0,25,25,0,0,0
重庆,璧山区,0,9,9,0,0,0
重庆,九龙坡区,0,22,21,1,0,0
重庆,潼南区,0,18,18,0,0,0
重庆,大渡口区,0,7,7,0,0,0
重庆,梁平区,0,4,4,0,0,0
重庆,秀山县,0,1,1,0,0,0
重庆,万州区,0,118,114,4,0,0
重庆,南岸区,0,15,15,0,0,0
重庆,石柱县,0,15,15,0,0,0
重庆,涪陵区,0,5,5,0,0,0
重庆,江北区,0,28,28,0,0,0
重庆,綦江区,0,24,24,0,0,0
重庆,巫溪县,0,14,14,0,0,0
重庆,长寿区,0,24,24,0,0,0
重庆,城口县,0,2,2,0,0,0
重庆,合川区,0,23,23,0,0,0
重庆,垫江县,0,20,20,0,0,0
重庆,江津区,0,6,6,0,0,0
重庆,黔江区,0,2,2,0,0,0
重庆,渝中区,0,20,20,0,0,0
重庆,巴南区,0,7,7,0,0,0
重庆,铜梁区,0,10,10,0,0,0
重庆,荣昌区,0,9,9,0,0,0
重庆,沙坪坝区,0,10,10,0,0,0
重庆,高新区,0,4,4,0,0,0
重庆,彭水县,0,2,2,0,0,0
重庆,酉阳县,0,1,1,0,0,0
重庆,境外输入,0,42,30,0,12,0
安徽,安庆,0,83,83,0,0,0
安徽,芜湖,0,34,34,0,0,0
安徽,亳州,0,108,108,0,0,0
安徽,黄山,0,9,9,0,0,0
安徽,淮北,0,27,27,0,0,0
安徽,蚌埠,0,160,155,5,0,0
安徽,马鞍山,0,38,38,0,0,0
安徽,铜陵,0,29,29,0,0,0
安徽,池州,0,17,17,0,0,0
安徽,宿州,0,42,42,0,0,0
安徽,合肥,0,176,175,1,0,0
安徽,宣城,0,6,6,0,0,0
安徽,滁州,0,13,13,0,0,0
安徽,阜阳,0,156,156,0,0,0
安徽,淮南,0,27,27,0,0,0
安徽,六安,0,77,77,0,0,0
安徽,境外输入,0,13,7,0,6,0
湖南,衡阳,,48,48,0,0,0
湖南,娄底,,76,76,0,0,0
湖南,湘潭,,38,38,0,0,0
湖南,永州,,44,44,0,0,0
湖南,常德,,82,82,0,0,0
湖南,张家界,,77,77,0,0,0
湖南,岳阳,,156,155,1,0,0
湖南,株洲,,110,110,0,0,0
湖南,长沙,,247,245,2,0,0
湖南,邵阳,,103,102,1,0,0
湖南,湘西州,,10,10,0,0,0
湖南,郴州,,39,39,0,0,0
湖南,怀化,,41,40,0,1,0
湖南,益阳,,63,63,0,0,0
湖南,境外输入,,101,98,0,3,0
河南,安阳,0,522,522,0,0,0
河南,信阳,0,277,275,2,0,0
河南,周口,0,101,100,1,0,0
河南,开封,0,33,33,0,0,0
河南,许昌,0,405,404,1,0,0
河南,濮阳,1,20,17,0,3,0
河南,漯河,0,36,36,0,0,0
河南,郑州,0,489,483,5,1,0
河南,三门峡,0,8,7,1,0,0
河南,驻马店,0,143,143,0,0,0
河南,南阳,0,156,153,3,0,0
河南,鹤壁,0,19,19,0,0,0
河南,商丘,0,109,106,3,0,0
河南,洛阳,0,41,40,1,0,0
河南,新乡,0,57,54,3,0,0
河南,焦作,0,32,31,1,0,0
河南,平顶山,0,59,58,1,0,0
河南,济源,0,5,5,0,0,0
河南,境外输入,0,191,155,0,36,0
广东,肇庆,0,19,18,1,0,0
广东,珠海,0,137,98,1,38,0
广东,河源,0,7,5,0,2,0
广东,佛山,0,101,101,0,0,0
广东,清远,0,12,12,0,0,0
广东,汕尾,0,6,6,0,0,0
广东,茂名,0,14,14,0,0,0
广东,阳江,0,15,14,0,1,0
广东,湛江,0,23,23,0,0,0
广东,中山,0,72,69,0,3,0
广东,惠州,0,70,62,0,8,0
广东,揭阳,0,10,10,0,0,0
广东,梅州,0,18,16,0,2,0
广东,深圳,9,781,428,3,350,0
广东,汕头,0,25,25,0,0,0
广东,江门,0,23,23,0,0,0
广东,韶关,0,10,9,1,0,0
广东,东莞,1,308,127,1,180,0
广东,广州,1,529,525,1,3,0
广东,潮州,0,5,5,0,0,0
广东,境外输入,0,3428,2387,0,1041,0
广东,待确认,0,,113,,0,0
广东,云浮,0,7,0,0,7,0
浙江,台州,0,147,147,0,0,0
浙江,嘉兴,0,47,46,0,1,0
浙江,湖州,0,11,10,0,1,0
浙江,舟山,0,10,10,0,0,0
浙江,绍兴,0,430,429,0,1,0
浙江,宁波,0,269,269,0,0,0
浙江,杭州,13,344,215,0,129,0
浙江,金华,0,57,57,0,0,0
浙江,丽水,0,17,17,0,0,0
浙江,温州,0,507,503,1,3,0
浙江,衢州,3,22,14,0,8,0
浙江,省十里丰监狱,0,36,36,0,0,0
浙江,境外输入,0,420,306,0,114,0
湖北,仙桃,0,575,553,22,0,0
湖北,天门,0,498,483,15,0,0
湖北,随州,0,1307,1262,45,0,0
湖北,咸宁,0,836,821,15,0,0
湖北,十堰,0,672,664,8,0,0
湖北,恩施,0,252,245,7,0,0
湖北,襄阳,0,1175,1135,40,0,0
湖北,荆州,0,1582,1530,52,0,0
湖北,神农架林区,0,11,11,0,0,0
湖北,宜昌,0,931,894,37,0,0
湖北,潜江,0,198,189,9,0,0
湖北,武汉,0,50419,46511,3869,39,0
湖北,黄冈,0,2912,2787,125,0,0
湖北,孝感,0,3518,3389,129,0,0
湖北,黄石,0,1015,976,39,0,0
湖北,荆门,0,971,930,41,0,0
湖北,鄂州,0,1395,1336,59,0,0
湖北,境外输入,0,117,102,0,15,0
